english	translation	category	sub_category	source
There are no tasks available to you that match your filters.	没有符合你筛选条件的任务。	interface	combAchvmt	
Filters	筛选	interface	combAchvmt	
Tier:	难度：	interface	combAchvmt	
All	全部	interface	combAchvmt	
Type:	类型：	interface	combAchvmt	
Monster:	怪物：	interface	combAchvmt	
Completed:	已完成：	interface	combAchvmt	
Noxious Foe	恶臭的敌人	interface	combAchvmt	
Barrows Novice	巴罗斯新手	interface	combAchvmt	
Defence? What Defence?	防御？什么防御？	interface	combAchvmt	
Big, Black and Fiery	巨大、漆黑且炽热	interface	combAchvmt	
The Demonic Punching Bag	恶魔沙袋	interface	combAchvmt	
Bryophyta Novice	布赖奥菲塔新手	interface	combAchvmt	
Protection from Moss	防止苔藓滋生	interface	combAchvmt	
Preparation Is Key	准备是关键	interface	combAchvmt	
A Slow Death	缓慢的死亡	interface	combAchvmt	
Fighting as Intended II	如预期般战斗 II	interface	combAchvmt	
Deranged Archaeologist Novice	精神错乱的考古学家新手	interface	combAchvmt	
The Walking Volcano	行走的火山	interface	combAchvmt	
Into the Den of Giants	深入巨人巢穴	interface	combAchvmt	
A Greater Foe	更强大的敌人	interface	combAchvmt	
Not So Great After All	终究不过如此	interface	combAchvmt	
A Demon's Best Friend	恶魔的挚友	interface	combAchvmt	
Obor Novice	奥博尔新手	interface	combAchvmt	
Sleeping Giant	沉睡的巨人	interface	combAchvmt	
Fighting as Intended	如预期般战斗	interface	combAchvmt	
King Black Dragon Novice	黑龙王新手	interface	combAchvmt	
A Scaley Encounter	第''鳞''类接触	interface	combAchvmt	
Shayzien Protector	谢兹恩守护者	interface	combAchvmt	
Giant Mole Novice	巨型鼹鼠新手	interface	combAchvmt	
Sarachnis Novice	萨拉奇尼斯新手	interface	combAchvmt	
Wintertodt Novice	冬将军新手	interface	combAchvmt	
Mummy!	木乃伊！	interface	combAchvmt	
Handyman	修理工	interface	combAchvmt	
Cosy	舒适	interface	combAchvmt	
A Slithery Encounter	遭遇滑溜溜的家伙	interface	combAchvmt	
Tempoross Novice	海灵新手	interface	combAchvmt	
Master of Buckets	水桶大师	interface	combAchvmt	
Calm Before the Storm	风暴前的宁静	interface	combAchvmt	
Fire in the Hole!	小心爆炸！	interface	combAchvmt	
Scurrius Novice	斯库里乌斯新手	interface	combAchvmt	
Sit Rat	坐下吧，死老鼠！	interface	combAchvmt	
One by one	逐个击破	interface	combAchvmt	
Elemental Company	元素伙伴	interface	combAchvmt	
Let them fight	让他们打吧	interface	combAchvmt	
Sit Back and Relax	坐享其成	interface	combAchvmt	
Barrows Champion	巴罗斯征服者	interface	combAchvmt	
Can't Touch Me	碰不到我	interface	combAchvmt	
Pray for Success	祈祷成功	interface	combAchvmt	
Brutal, Big, Black and Firey	残暴、巨大、漆黑且炽热	interface	combAchvmt	
Bryophyta Champion	布赖奥菲塔征服者	interface	combAchvmt	
Quick Cutter	快速切割者	interface	combAchvmt	
Demonic Weakening	被削弱的恶魔	interface	combAchvmt	
Demonbane Weaponry	猎魔武器	interface	combAchvmt	
Chaos Fanatic Champion	混沌狂热者征服者	interface	combAchvmt	
Sorry, What Was That?	抱歉，你说什么？	interface	combAchvmt	
Crazy Archaeologist Champion	疯狂的考古学家征服者	interface	combAchvmt	
Mage of the Ruins	废墟法师	interface	combAchvmt	
I'd Rather Not Learn	我！不！学！	interface	combAchvmt	
Deranged Archaeologist Champion	精神错乱的考古学家征服者	interface	combAchvmt	
Mage of the Swamp	沼泽法师	interface	combAchvmt	
I'd Rather Be Illiterate	我宁愿是文盲	interface	combAchvmt	
A Smashing Time	砸碎	interface	combAchvmt	
Obor Champion	奥博尔征服者	interface	combAchvmt	
Back to the Wall	背水一战	interface	combAchvmt	
Squashing the Giant	碾压巨人	interface	combAchvmt	
King Black Dragon Champion	黑龙王征服者	interface	combAchvmt	
Claw Clipper	指甲刀	interface	combAchvmt	
Hide Penetration	穿透龙皮	interface	combAchvmt	
Antifire Protection	注意防火	interface	combAchvmt	
Master of Broad Weaponry	叶刃武器大师	interface	combAchvmt	
Giant Mole Champion	巨型鼹鼠征服者	interface	combAchvmt	
Avoiding Those Little Arms	避开那些小胳膊	interface	combAchvmt	
Dagannoth Prime Champion	深潜者主宰征服者	interface	combAchvmt	
Dagannoth Rex Champion	深潜者帝王征服者	interface	combAchvmt	
A Frozen King	冰封之王	interface	combAchvmt	
Sarachnis Champion	萨拉奇尼斯征服者	interface	combAchvmt	
Newspaper Enthusiast	报纸爱好者	interface	combAchvmt	
A Frozen Foe from the Past	昔日的冻土强敌	interface	combAchvmt	
Dagannoth Supreme Champion	深潜者至尊征服者	interface	combAchvmt	
Wintertodt Champion	冬将军征服者	interface	combAchvmt	
Can We Fix It?	我们能修好它吗？	interface	combAchvmt	
Leaving No One Behind	不抛弃任何人	interface	combAchvmt	
Skotizo Champion	斯科蒂佐征服者	interface	combAchvmt	
Tempoross Champion	海灵征服者	interface	combAchvmt	
The Lone Angler	孤独垂钓者	interface	combAchvmt	
Scurrius Champion	斯库里乌斯征服者	interface	combAchvmt	
Perfect Scurrius	完美击杀斯库里乌斯	interface	combAchvmt	
Efficient Pest Control	高效的虫害治理	interface	combAchvmt	
Lunar Triplet	月之三重奏	interface	combAchvmt	
Perilous Novice	灾厄之月新手	interface	combAchvmt	
Back to Our Roots	回归本源	interface	combAchvmt	
Moons of Peril Speed-Trialist	灾厄之月速通者	interface	combAchvmt	
Hueycoatl Champion	休伊科特尔征服者	interface	combAchvmt	
You're a wizard	你是个魔法师	interface	combAchvmt	
Amoxliatl Champion	阿莫克斯利亚特尔征服者	interface	combAchvmt	
Temotli Triumph	冰霜特莫提斧的胜利	interface	combAchvmt	
Royal Titan Champion	皇家泰坦征服者	interface	combAchvmt	
Royal Titan Adept	皇家泰坦专家	interface	combAchvmt	
It takes too long	耗时太久了	interface	combAchvmt	
Abyssal Adept	深渊领主专家	interface	combAchvmt	
They Grow Up Too Fast	它们长得太快了	interface	combAchvmt	
Don't Whip Me	不要鞭打我	interface	combAchvmt	
Don't Stop Moving	别停止移动	interface	combAchvmt	
Kree'arra Adept	克里阿拉专家	interface	combAchvmt	
Airborne Showdown	空中对决	interface	combAchvmt	
General Graardor Adept	格拉多尔将军专家	interface	combAchvmt	
Ourg Freezer	兽人冻结者	interface	combAchvmt	
General Showdown	决战	interface	combAchvmt	
Just Like That	就这样	interface	combAchvmt	
Faithless Crypt Run	无信仰者的墓穴之旅	interface	combAchvmt	
Callisto Adept	卡利斯托专家	interface	combAchvmt	
Skotizo Adept	斯科蒂佐专家	interface	combAchvmt	
Chaos Elemental Adept	混沌元素专家	interface	combAchvmt	
Hoarder	囤积者	interface	combAchvmt	
The Flincher	畏缩者	interface	combAchvmt	
Chaos Fanatic Adept	混沌狂热者专家	interface	combAchvmt	
Praying to the Gods	向众神祈祷	interface	combAchvmt	
Crazy Archaeologist Adept	疯狂的考古学家专家	interface	combAchvmt	
Grotesque Guardians Adept	怪诞守卫者专家	interface	combAchvmt	
Don't Look at the Eclipse	不要看日蚀	interface	combAchvmt	
Prison Break	越狱	interface	combAchvmt	
Granite Footwork	花岗岩步法	interface	combAchvmt	
Heal No More	不再治疗	interface	combAchvmt	
Static Awareness	静态意识	interface	combAchvmt	
Hespori Adept	赫斯波里专家	interface	combAchvmt	
Hesporisn't	赫斯波里的花式死法	interface	combAchvmt	
Weed Whacker	除草者	interface	combAchvmt	
Kalphite Queen Adept	卡尔夫特虫后专家	interface	combAchvmt	
Chitin Penetrator	几丁质穿透者	interface	combAchvmt	
Who Is the King Now?	现在谁是国王？	interface	combAchvmt	
Kraken Adept	克拉肯海怪专家	interface	combAchvmt	
Unnecessary Optimisation	不必要的优化	interface	combAchvmt	
Krakan't Hurt Me	克拉肯海怪伤不了我	interface	combAchvmt	
Why Are You Running?	你为什么要跑？	interface	combAchvmt	
Whack-a-Mole	打地鼠	interface	combAchvmt	
Nightmare Adept	梦魇专家	interface	combAchvmt	
Dagannoth Prime Adept	深潜者主宰专家	interface	combAchvmt	
Dagannoth Rex Adept	深潜者帝王专家	interface	combAchvmt	
Ready to Pounce	准备扑击	interface	combAchvmt	
Inspect Repellent	检查驱虫剂	interface	combAchvmt	
Commander Zilyana Adept	齐利亚娜指挥官专家	interface	combAchvmt	
Commander Showdown	指挥官对决	interface	combAchvmt	
Scorpia Adept	天蝎专家	interface	combAchvmt	
I Can't Reach That	我碰不到那个	interface	combAchvmt	
Guardians No More	不再是守护者	interface	combAchvmt	
Zulrah Adept	祖尔拉专家	interface	combAchvmt	
Dagannoth Supreme Adept	深潜者至尊专家	interface	combAchvmt	
Theatre of Blood: SM Adept	血腥剧场：故事模式专家	interface	combAchvmt	
Venenatis Adept	维内纳蒂斯专家	interface	combAchvmt	
Vet'ion Adept	维提翁专家	interface	combAchvmt	
Why Fletch?	为什么这时候要制箭？	interface	combAchvmt	
K'ril Tsutsaroth Adept	克里尔‧楚萨罗斯专家	interface	combAchvmt	
Yarr No More	不再欢呼了	interface	combAchvmt	
Demonic Showdown	恶魔对决	interface	combAchvmt	
Demonbane Weaponry II	猎魔武器 II	interface	combAchvmt	
Dress Like You Mean It	盛装出席	interface	combAchvmt	
Why Cook?	为什么这时候要烹饪？	interface	combAchvmt	
Novice Tomb Explorer	新手墓穴探索者	interface	combAchvmt	
Novice Tomb Looter	新手墓穴掠夺者	interface	combAchvmt	
Movin' on up	步步高升	interface	combAchvmt	
Confident Raider	自信的盗墓者	interface	combAchvmt	
Phantom Muspah Adept	幻影穆斯帕专家	interface	combAchvmt	
Perilous Dancer	危险舞蹈	interface	combAchvmt	
Fortified	坚韧不拔	interface	combAchvmt	
Betrayal	背叛	interface	combAchvmt	
Moons of Peril Speed-Chaser	灾厄之月竞速者	interface	combAchvmt	
Fat of the Land	沃土	interface	combAchvmt	
The Clone Zone	克隆地带	interface	combAchvmt	
Perilous Champion	灾厄之月征服者	interface	combAchvmt	
Hueycoatl Adept	休伊科特尔专家	interface	combAchvmt	
Pillar Lover	柱子爱好者	interface	combAchvmt	
I'm your son	我是你儿子	interface	combAchvmt	
Amoxliatl Adept	阿莫克斯利亚特尔专家	interface	combAchvmt	
Amoxliatl Speed-Trialist	阿莫克斯利亚特尔速通者	interface	combAchvmt	
Nagua Negation	完美击杀那伽	interface	combAchvmt	
Kemo Makti	凯莫马克蒂	interface	combAchvmt	
Totally Shattered	完全破碎	interface	combAchvmt	
Perfect Royal Titans	完美击杀皇家泰坦	interface	combAchvmt	
Royal Titan Speed-Runner	皇家泰坦极限速通者	interface	combAchvmt	
Titan Killer	泰坦杀手	interface	combAchvmt	
I need room	我需要空间	interface	combAchvmt	
Abyssal Veteran	深渊老兵	interface	combAchvmt	
Respiratory Runner	极速跑手	interface	combAchvmt	
Demonic Rebound	向恶魔复仇	interface	combAchvmt	
Perfect Sire	完美击杀深渊领主	interface	combAchvmt	
Kree'arra Veteran	克里阿拉老兵	interface	combAchvmt	
General Graardor Veteran	格拉多尔将军老兵	interface	combAchvmt	
Ourg Freezer II	兽人冻结者 II	interface	combAchvmt	
Reflecting on This Encounter	反射	interface	combAchvmt	
Callisto Veteran	卡利斯托老兵	interface	combAchvmt	
Demon Evasion	完美击杀斯科蒂佐	interface	combAchvmt	
Up for the Challenge	迎接挑战	interface	combAchvmt	
Cerberus Veteran	刻耳柏洛斯老兵	interface	combAchvmt	
Ghost Buster	捉鬼者	interface	combAchvmt	
Unrequired Antifire	无须防火	interface	combAchvmt	
Anti-Bite Mechanics	反咬机制	interface	combAchvmt	
Chaos Elemental Veteran	混沌元素老兵	interface	combAchvmt	
Corporeal Beast Veteran	实体巨兽老兵	interface	combAchvmt	
Hot on Your Feet	身手矫健	interface	combAchvmt	
Finding the Weak Spot	寻找弱点	interface	combAchvmt	
Chicken Killer	像杀鸡般容易	interface	combAchvmt	
If Gorillas Could Fly	如果大猩猩会飞	interface	combAchvmt	
Hitting Them Where It Hurts	击中痛处	interface	combAchvmt	
Galvek Speed-Trialist	加尔维克速通者	interface	combAchvmt	
Grotesque Guardians Veteran	怪诞守卫者老兵	interface	combAchvmt	
Done before Dusk	在黄昏前完成	interface	combAchvmt	
Perfect Grotesque Guardians	完美击杀怪诞守卫者	interface	combAchvmt	
Grotesque Guardians Speed-Trialist	怪诞守卫者速通者	interface	combAchvmt	
From Dusk...	从黄昏开始…	interface	combAchvmt	
Corrupted Gauntlet Veteran	堕落试炼老兵	interface	combAchvmt	
<Num0>, <Num1>, <Num2> - Mage	<Num0>,<Num1>,<Num2>- 魔法师	interface	combAchvmt	
Gauntlet Veteran	试炼之路老兵	interface	combAchvmt	
<Num0>, <Num1>, <Num2> - Range	<Num0>,<Num1>,<Num2>- 远程	interface	combAchvmt	
Egniol Diet	艾格尼奥尔饮食	interface	combAchvmt	
Crystalline Warrior	结晶战士	interface	combAchvmt	
Wolf Puncher	狼拳手	interface	combAchvmt	
Glough Speed-Trialist	格劳夫速通者	interface	combAchvmt	
Plant-Based Diet	植物性饮食	interface	combAchvmt	
Hespori Speed-Trialist	赫斯波里速通者	interface	combAchvmt	
Alchemical Veteran	炼金九头蛇老兵	interface	combAchvmt	
Fight Caves Veteran	战斗洞穴老兵	interface	combAchvmt	
Facing Jad Head-on	直面贾德	interface	combAchvmt	
Kalphite Queen Veteran	卡尔夫特虫后老兵	interface	combAchvmt	
Insect Deflection	向昆虫复仇	interface	combAchvmt	
Prayer Smasher	祈祷粉碎者	interface	combAchvmt	
Ten-tacles	触手怪	interface	combAchvmt	
Mimic Veteran	拟态怪老兵	interface	combAchvmt	
Hard Hitter	重击手	interface	combAchvmt	
Nightmare Veteran	梦魇老兵	interface	combAchvmt	
Explosion!	爆炸！	interface	combAchvmt	
Sleep Tight	安睡	interface	combAchvmt	
Nightmare (Solo) Speed-Trialist	梦魇速通者 (单人)	interface	combAchvmt	
Nightmare (<Num0>-Scale) Speed-Trialist	梦魇速通者 (<Num0>人)	interface	combAchvmt	
Death to the Seer King	先知之王之死	interface	combAchvmt	
From One King to Another	从一个王者到另一个王者	interface	combAchvmt	
Death to the Warrior King	战士之王之死	interface	combAchvmt	
Toppling the Diarchy	推翻双王	interface	combAchvmt	
Commander Zilyana Veteran	齐利亚娜指挥官老兵	interface	combAchvmt	
Reminisce	回忆	interface	combAchvmt	
Scorpia Veteran	天蝎老兵	interface	combAchvmt	
Fragment of Seren Speed-Trialist	塞伦碎片速通者	interface	combAchvmt	
Zulrah Veteran	祖尔拉老兵	interface	combAchvmt	
Snake Rebound	向祖尔拉复仇	interface	combAchvmt	
Snake. Snake!? Snaaaaaake!	蛇，蛇！？蛇啊啊啊！	interface	combAchvmt	
Zulrah Speed-Trialist	祖尔拉速通者	interface	combAchvmt	
Death to the Archer King	射手之王之死	interface	combAchvmt	
Rapid Succession	速战速决	interface	combAchvmt	
Anticoagulants	抗凝血剂	interface	combAchvmt	
Appropriate Tools	合适的工具	interface	combAchvmt	
They Won't Expect This	他们想不到这点	interface	combAchvmt	
Chally Time	挑战时间	interface	combAchvmt	
Nylocas, On the Rocks	冰冻的尼洛卡斯蛛	interface	combAchvmt	
Just To Be Safe	只为了安全	interface	combAchvmt	
Don't Look at Me!	别看我！	interface	combAchvmt	
No-Pillar	没有柱子了	interface	combAchvmt	
Attack, Step, Wait	攻击、移动、等待	interface	combAchvmt	
Pass It On	传递下去	interface	combAchvmt	
Theatre of Blood Veteran	血腥剧场老兵	interface	combAchvmt	
Thermonuclear Veteran	热核老兵	interface	combAchvmt	
Hazard Prevention	预防危险	interface	combAchvmt	
Spec'd Out	特殊配置	interface	combAchvmt	
Venenatis Veteran	维内纳蒂斯老兵	interface	combAchvmt	
Vet'eran	老兵	interface	combAchvmt	
Vorkath Veteran	沃卡斯老兵	interface	combAchvmt	
Stick 'em With the Pointy End	刺死它们	interface	combAchvmt	
Zombie Destroyer	僵尸毁灭者	interface	combAchvmt	
Dust Seeker	尘埃追寻者	interface	combAchvmt	
Chambers of Xeric Veteran	泽里克圣所老兵	interface	combAchvmt	
Perfectly Balanced	完美平衡	interface	combAchvmt	
Together We'll Fall	一同陨落	interface	combAchvmt	
Redemption Enthusiast	'救赎''爱好者	interface	combAchvmt	
Mutta-diet	穆塔迪尔的食物	interface	combAchvmt	
Dancing with Statues	与雕像共舞	interface	combAchvmt	
Undying Raid Team	不死的盗墓者们	interface	combAchvmt	
Shayzien Specialist	谢兹恩专家	interface	combAchvmt	
Cryo No More	不再冷了	interface	combAchvmt	
Blizzard Dodger	暴风雪躲避者	interface	combAchvmt	
Kill It with Fire	烧死它	interface	combAchvmt	
Zalcano Veteran	扎尔卡诺老兵	interface	combAchvmt	
Perfect Zalcano	完美击杀扎尔卡诺	interface	combAchvmt	
Team Player	团队玩家	interface	combAchvmt	
The Spurned Hero	被抛弃的英雄	interface	combAchvmt	
K'ril Tsutsaroth Veteran	克里尔‧楚萨罗斯老兵	interface	combAchvmt	
Demonic Defence	防御恶魔	interface	combAchvmt	
The Bane of Demons	恶魔克星	interface	combAchvmt	
Half-Way There	半途	interface	combAchvmt	
A Near Miss!	险中求胜！	interface	combAchvmt	
The II Jad Challenge	贾德的第二个挑战	interface	combAchvmt	
TzHaar-Ket-Rak's Speed-Trialist	特扎尔 - 凯特 - 拉克速通者	interface	combAchvmt	
Facing Jad Head-on III	直面贾德 III	interface	combAchvmt	
Phosani's Veteran	弗萨尼老兵	interface	combAchvmt	
Nex Veteran	奈克斯老兵	interface	combAchvmt	
Nex Survivors	奈克斯幸存者	interface	combAchvmt	
Novice Tomb Raider	新手盗墓者	interface	combAchvmt	
Tomb Explorer	墓穴探索者	interface	combAchvmt	
Expert Tomb Explorer	专家墓穴探索者	interface	combAchvmt	
Hardcore Raiders	硬核的盗墓者	interface	combAchvmt	
Hardcore Tombs	硬核墓穴	interface	combAchvmt	
Helpful spirit who?	谁是乐于助人的灵魂？	interface	combAchvmt	
Dropped the ball	搞砸了	interface	combAchvmt	
No skipping allowed	不允许跳过任何环节	interface	combAchvmt	
Down Do Specs	我不会死	interface	combAchvmt	
Perfect Het	完美通关赫特之路	interface	combAchvmt	
Perfect Apmeken	完美通关阿普梅肯之路	interface	combAchvmt	
Perfect Crondis	完美通关克伦迪斯之路	interface	combAchvmt	
I'm in a rush	我很忙	interface	combAchvmt	
Phantom Muspah Speed-Trialist	幻影穆斯帕速通者	interface	combAchvmt	
Phantom Muspah Veteran	幻影穆斯帕老兵	interface	combAchvmt	
Can't Escape	无法逃脱	interface	combAchvmt	
Versatile Drainer	多才多艺的吸取者	interface	combAchvmt	
Duke Sucellus Adept	苏塞勒斯公爵专家	interface	combAchvmt	
Vardorvis Adept	瓦多维斯专家	interface	combAchvmt	
Whisperer Adept	低语者专家	interface	combAchvmt	
Leviathan Adept	利维坦专家	interface	combAchvmt	
Duke Sucellus Speed-Trialist	苏塞勒斯公爵速通者	interface	combAchvmt	
Vardorvis Speed-Trialist	瓦多维斯速通者	interface	combAchvmt	
Whisperer Speed-Trialist	低语者速通者	interface	combAchvmt	
Leviathan Speed-Trialist	利维坦速通者	interface	combAchvmt	
Tentacular	触手	interface	combAchvmt	
High Hitter	强者	interface	combAchvmt	
Furball	毛球	interface	combAchvmt	
Denied	拒绝	interface	combAchvmt	
I was here first!	我先来的！	interface	combAchvmt	
Unending Torment	无尽的折磨	interface	combAchvmt	
Through Fire and Flames	穿越火与焰	interface	combAchvmt	
Two Times the Torment	两倍的折磨	interface	combAchvmt	
Rapid Reload	快速装填	interface	combAchvmt	
Araxxor Veteran	阿拉克索老兵	interface	combAchvmt	
Relaxxor	放松点，阿拉克索	interface	combAchvmt	
Araxxor Speed-Trialist	阿拉克索速通者	interface	combAchvmt	
Hueycoatl Speed-Trialist	休伊科特尔速通者	interface	combAchvmt	
Hueycoatl Veteran	休伊科特尔老兵	interface	combAchvmt	
Perfect Hueycoatl	完美击杀休伊科特尔	interface	combAchvmt	
Amoxliatl Speed-Chaser	阿莫克斯利亚特尔竞速者	interface	combAchvmt	
Without Ralos' Light	无需祈祷	interface	combAchvmt	
No time to pray	没时间祈祷了	interface	combAchvmt	
Collateral Damage	附带伤害	interface	combAchvmt	
Swoop No More	不再俯冲	interface	combAchvmt	
Precise Positioning	精准定位	interface	combAchvmt	
Cerberus Master	刻耳柏洛斯大师	interface	combAchvmt	
Arooo No More	不再嚎叫	interface	combAchvmt	
Corporeal Beast Master	实体巨兽大师	interface	combAchvmt	
Perfect Grotesque Guardians II	完美击杀怪诞守卫者 II	interface	combAchvmt	
Grotesque Guardians Speed-Chaser	怪诞守卫者竞速者	interface	combAchvmt	
... 'til Dawn	直到黎明…	interface	combAchvmt	
Corrupted Gauntlet Master	堕落试炼大师	interface	combAchvmt	
Perfect Corrupted Hunllef	完美击杀堕落亨勒夫	interface	combAchvmt	
Defence Doesn't Matter II	防御不重要 II	interface	combAchvmt	
Corrupted Warrior	堕落战士	interface	combAchvmt	
Corrupted Gauntlet Speed-Chaser	堕落试炼竞速者	interface	combAchvmt	
Gauntlet Master	试炼之路大师	interface	combAchvmt	
Perfect Crystalline Hunllef	完美击杀结晶亨勒夫	interface	combAchvmt	
Defence Doesn't Matter	防御不重要	interface	combAchvmt	
Gauntlet Speed-Chaser	试炼之路竞速者	interface	combAchvmt	
Hespori Speed-Chaser	赫斯波里竞速者	interface	combAchvmt	
Alchemical Master	炼金九头蛇大师	interface	combAchvmt	
Unrequired Antipoisons	无需解毒剂	interface	combAchvmt	
Lightning Lure	闪电诱饵	interface	combAchvmt	
Don't Flame Me	别烧我	interface	combAchvmt	
Mixing Correctly	正确混合	interface	combAchvmt	
The Flame Skipper	抢在火焰墙之前	interface	combAchvmt	
Alcleanical Hydra	完美击杀炼金九头蛇	interface	combAchvmt	
Alchemical Speed-Chaser	炼金九头蛇竞速者	interface	combAchvmt	
Working Overtime	加班	interface	combAchvmt	
Fight Caves Master	战斗洞穴大师	interface	combAchvmt	
Denying the Healers	拒绝治疗	interface	combAchvmt	
You Didn't Say Anything About a Bat	你没说过有蝙蝠	interface	combAchvmt	
Fight Caves Speed-Chaser	战斗洞穴竞速者	interface	combAchvmt	
One Hundred Tentacles	一百根触手	interface	combAchvmt	
Nightmare Master	梦魇大师	interface	combAchvmt	
Perfect Nightmare	完美击杀梦魇	interface	combAchvmt	
Nightmare (Solo) Speed-Chaser	梦魇竞速者 (单人)	interface	combAchvmt	
Nightmare (<Num0>-Scale) Speed-Chaser	梦魇竞速者 (<Num0>人)	interface	combAchvmt	
Moving Collateral	附带伤害	interface	combAchvmt	
Zulrah Master	祖尔拉大师	interface	combAchvmt	
Perfect Zulrah	完美击杀祖尔拉	interface	combAchvmt	
Zulrah Speed-Chaser	祖尔拉竞速者	interface	combAchvmt	
Can't Drain This	无法祈祷	interface	combAchvmt	
Perfect Maiden	完美击杀苏加丁蒂的少女	interface	combAchvmt	
Two-Down	二度倒地	interface	combAchvmt	
Perfect Bloat	完美击杀瘟疫肿胀怪	interface	combAchvmt	
Perfect Nylocas	完美击杀尼洛卡斯蛛	interface	combAchvmt	
A Timely Snack	及时的零食	interface	combAchvmt	
Perfect Sotetseg	完美击杀索特塞格	interface	combAchvmt	
Can You Dance?	你会跳舞吗？	interface	combAchvmt	
Perfect Xarpus	完美击杀扎普斯	interface	combAchvmt	
Pop It	戳破它	interface	combAchvmt	
Perfect Verzik	完美击杀维齐克	interface	combAchvmt	
Back in My Day...	在我那个年代…	interface	combAchvmt	
Theatre (Trio) Speed-Chaser	血腥剧场竞速者 (三人)	interface	combAchvmt	
Theatre (<Num0>-Scale) Speed-Chaser	血腥剧场速通者 (<Num0>人)	interface	combAchvmt	
Theatre of Blood Master	血腥剧场大师	interface	combAchvmt	
Vorkath Master	沃卡斯大师	interface	combAchvmt	
The Walk	行走	interface	combAchvmt	
Dodging the Dragon	躲避巨龙	interface	combAchvmt	
Vorkath Speed-Chaser	沃卡斯竞速者	interface	combAchvmt	
Extended Encounter	延长遭遇战	interface	combAchvmt	
Chambers of Xeric: CM Master	泽里克圣所：挑战模式大师	interface	combAchvmt	
Immortal Raid Team	不朽的盗墓者们	interface	combAchvmt	
Immortal Raider	不朽的盗墓者	interface	combAchvmt	
Chambers of Xeric: CM (Solo) Speed-Chaser	泽里克圣所：挑战模式竞速者 (单人)	interface	combAchvmt	
Chambers of Xeric: CM (<Num0>-Scale) Speed-Chaser	泽里克圣所：挑战模式竞速者 (<Num0>人)	interface	combAchvmt	
Chambers of Xeric: CM (Trio) Speed-Chaser	泽里克圣所：挑战模式竞速者 (三人)	interface	combAchvmt	
Chambers of Xeric Master	泽里克圣所大师	interface	combAchvmt	
No Time for Death	无暇赴死	interface	combAchvmt	
Putting It Olm on the Line	全力以赴	interface	combAchvmt	
A Not So Special Lizard	不那么特别的蜥蜴	interface	combAchvmt	
Stop Drop and Roll	停止、趴下、翻滚	interface	combAchvmt	
Anvil No More	不再有铁砧	interface	combAchvmt	
Undying Raider	不死的盗墓者	interface	combAchvmt	
Playing with Lasers	玩激光	interface	combAchvmt	
Perfect Olm (Solo)	完美击杀奥姆 (单人)	interface	combAchvmt	
Perfect Olm (Trio)	完美击杀奥姆 (三人)	interface	combAchvmt	
Blind Spot	盲点	interface	combAchvmt	
Chambers of Xeric (Solo) Speed-Chaser	泽里克圣所竞速者 (单人)	interface	combAchvmt	
Chambers of Xeric (Trio) Speed-Chaser	泽里克圣所竞速者 (三人)	interface	combAchvmt	
Chambers of Xeric (<Num0>-Scale) Speed-Chaser	泽里克圣所竞速者 (<Num0>人)	interface	combAchvmt	
Nibblers, Begone!	啃食者，滚开！	interface	combAchvmt	
The IV Jad Challenge	贾德的第四个挑战	interface	combAchvmt	
