english	translation	category	sub_category	source
Crazy dance	疯狂的舞蹈	manual	emote	
Premier Shield	會員之盾	manual	emote	
Explore	探索	manual	emote	
Relic unlock	遗物解锁	manual	emote	
Party	派对	manual	emote	
Trick	戏法	manual	emote	
Fortis Salute	福蒂斯式敬礼	manual	emote	
Crab dance	螃蟹舞	manual	emote	
Sit down	坐下	manual	emote	
Bald	光头	manual	hair_beard	
Dreadlocks	脏辫	manual	hair_beard	
Long	长发	manual	hair_beard	
Medium	中长发	manual	hair_beard	
Tonsure	剃度头	manual	hair_beard	
Short	短发	manual	hair_beard	
Cropped	短寸	manual	hair_beard	
Wild spikes	狂野尖刺	manual	hair_beard	
Spikes	尖刺	manual	hair_beard	
Mohawk	莫西干	manual	hair_beard	
Wind braids	风辫	manual	hair_beard	
Quiff	飞机头	manual	hair_beard	
Samurai	武士头	manual	hair_beard	
Princely	王子头	manual	hair_beard	
Curtains	窗帘头	manual	hair_beard	
Long curtains	长窗帘头	manual	hair_beard	
Front split	前分头	manual	hair_beard	
Tousled	凌乱头	manual	hair_beard	
Side wedge	侧楔头	manual	hair_beard	
Front wedge	前楔头	manual	hair_beard	
Front spikes	前尖刺	manual	hair_beard	
Frohawk	非洲莫西干	manual	hair_beard	
Rear skirt	后裙发	manual	hair_beard	
Queue	辫子	manual	hair_beard	
Bun	发髻	manual	hair_beard	
Pigtails	双马尾	manual	hair_beard	
Earmuffs	耳罩式	manual	hair_beard	
Side pony	侧马尾	manual	hair_beard	
Curls	卷发	manual	hair_beard	
Ponytail	马尾	manual	hair_beard	
Braids	编辫	manual	hair_beard	
Bunches	双发髻	manual	hair_beard	
Bob	波波头	manual	hair_beard	
Layered	层次发	manual	hair_beard	
Straight	直发	manual	hair_beard	
Straight Braids	直编辫	manual	hair_beard	
Two-back	双后发	manual	hair_beard	
Mullet	鲻鱼头	manual	hair_beard	
Undercut	底削头	manual	hair_beard	
Low Bun	低发髻	manual	hair_beard	
Messy Bun	凌乱发髻	manual	hair_beard	
Pompadour	蓬巴杜	manual	hair_beard	
Afro	非洲式	manual	hair_beard	
Short locs	短脏辫	manual	hair_beard	
Spiky Mohawk	尖刺莫西干	manual	hair_beard	
Slicked Mohawk	光滑莫西干	manual	hair_beard	
Long Quiff	长飞机头	manual	hair_beard	
Short Choppy	短碎发	manual	hair_beard	
Side Afro	侧非洲式	manual	hair_beard	
Punk	朋克头	manual	hair_beard	
Half-shaved	半剃头	manual	hair_beard	
Fremennik	弗莱明尼克式	manual	hair_beard	
Elven	精灵式	manual	hair_beard	
Medium Coils	中卷	manual	hair_beard	
High ponytail	高马尾	manual	hair_beard	
Plaits	编辫	manual	hair_beard	
High Bunches	高双马尾	manual	hair_beard	
	无	manual	hair_beard	
Goatee	山羊胡	manual	hair_beard	
Handlebar	把手胡	manual	hair_beard	
Moustache	小胡子	manual	hair_beard	
Pointy	尖型胡	manual	hair_beard	
Split	分叉胡	manual	hair_beard	
Mutton	羊排胡	manual	hair_beard	
Full Mutton	全羊排胡	manual	hair_beard	
Big Moustache	大胡子	manual	hair_beard	
Waxed Moustache	蜡胡	manual	hair_beard	
Dali	达利胡	manual	hair_beard	
Vizier	维齐尔胡	manual	hair_beard	
Rimmington	里明顿村	manual	location	
Taverley	塔韦利村	manual	location	
Pollnivneach	波尼尼镇	manual	location	
Rellekka	雷勒卡城	manual	location	
Brimhaven	布尔哈文镇	manual	location	
Yanille	亚尼勒城	manual	location	
Hosidius	霍西迪乌斯城	manual	location	
Prifddinas	普里夫迪纳斯城	manual	location	
Ardougne	阿多尼城	manual	location	
Desert	沙漠	manual	location	
Falador	法拉多城	manual	location	
Fremennik	费明尼克	manual	location	
Kandarin	坎达林王国	manual	location	
Karamja	卡拉姆詹岛	manual	location	
Lumbridge & Draynor	仑桥镇与德雷诺村	manual	location	
Morytania	莫利塔尼亚	manual	location	
Varrock	维洛克城	manual	location	
Western Provinces	西部省份	manual	location	
Wilderness	荒野	manual	location	
Kourend & Kebos	库兰德王国与凯博斯	manual	location	
Shayzien	谢兹恩城	manual	location	
Arceuus	阿西乌斯城	manual	location	
Lovakengj	洛瓦肯吉城	manual	location	
Piscarilius	皮斯卡里琉斯城	manual	location	
Al Kharid	阿尔卡里德城	manual	location	
Burgh de Rott	伯格德罗特镇	manual	location	
Burthorpe	伯索普公国	manual	location	
Canifis	坎尼非斯村	manual	location	
Kharidian Desert	卡里迪安沙漠	manual	location	
Dorgesh-Kaan	多吉需坎城	manual	location	
Draynor Village	德雷诺村	manual	location	
Entrana	恩特纳岛	manual	location	
Feldip Hills	费迪普丘陵	manual	location	
Gnome Stronghold	地精要塞	manual	location	
Goblin Village	哥布林村庄	manual	location	
Isafdar	伊萨法德森林	manual	location	
Kebos Lowlands	凯博斯低地	manual	location	
Keldagrim	凯尔达格林城	manual	location	
Kingstown	金斯敦	manual	location	
Lletya	莱蒂亚村	manual	location	
Lumbridge	仑桥镇	manual	location	
Lunar Isle	月亮岛	manual	location	
Meiyerditch	迈尔迪奇	manual	location	
Miscellania	米斯凯尼亚国	manual	location	
Mort'ton	莫顿镇	manual	location	
Mos Le'Harmless	莫斯勒哈姆斯岛	manual	location	
Nardah	那尔达城	manual	location	
Port Phasmatys	法斯提斯港	manual	location	
Port Piscarilius	皮斯卡里琉斯港	manual	location	
Piscatoris	皮斯卡托里斯	manual	location	
Port Sarim	沙林港	manual	location	
Seers' Village	先知村	manual	location	
Shilo Village	希洛村	manual	location	
Silvarea	希尔瓦雷亚	manual	location	
Slepe	斯莱普镇	manual	location	
Sophanem	索法尼恩城	manual	location	
Tai Bwo Wannai	泰博瓦纳村	manual	location	
Tree Gnome Village	地精村庄	manual	location	
Troll Stronghold	巨魔要塞	manual	location	
Witchaven	女巫港	manual	location	
Civitas illa Fortis	福蒂斯城	manual	location	
Avium Savannah	阿维乌姆草原	manual	location	
Slayer Tower	杀戮者之塔	manual	location	
Catacombs of Kourend	库兰德王国地下墓穴	manual	location	
Stronghold Slayer Dungeon	杀戮者要塞地牢	manual	location	
Karuulm Slayer Dungeon	卡鲁尔姆杀戮者地牢	manual	location	
Chasm of Fire	火焰深渊地牢	manual	location	
Brimhaven Dungeon	布尔哈文地牢	manual	location	
Taverley Dungeon	塔韦利地牢	manual	location	
Witchaven Dungeon	女巫港地牢	manual	location	
Waterfall Dungeon	瀑布地牢	manual	location	
God Wars Dungeon	神战地牢	manual	location	
Kalphite Lair	卡尔夫特虫巢	manual	location	
task-only Kalphite Cave	任务专用卡尔夫特虫洞穴	manual	location	
Kraken Cove	克拉肯湾	manual	location	
Waterbirth Island	水诞岛	manual	location	
Lizardman Canyon	蜥蜴人峡谷	manual	location	
Lizardman Settlement	蜥蜴人定居点	manual	location	
Smoke Devil Dungeon	烟魔地牢	manual	location	
Death Plateau	死亡高原	manual	location	
South of Mount Quidamortem	奎达莫特山以南	manual	location	
Fremennik Slayer Dungeon	费明尼克杀戮者地牢	manual	location	
Myths' Guild Dungeon	神话公会地牢	manual	location	
Mourner Tunnels	哀悼者隧道	manual	location	
Lithkren Vault	利斯克伦金库	manual	location	
Ancient Cavern	古代洞穴	manual	location	
Stronghold of Security	安全要塞	manual	location	
Fossil Island	化石岛	manual	location	
Asgarnian Ice Dungeon	阿斯加尼亚冰原地牢	manual	location	
Ogre Enclave	食人魔飞地	manual	location	
Brine Rat Cavern	盐水鼠洞穴	manual	location	
Zanaris	失落之城	manual	location	
In the Lighthouse	灯塔内	manual	location	
Smoke Dungeon	烟雾地牢	manual	location	
Evil Chicken's Lair	邪恶鸡的巢穴	manual	location	
The Abyss	深渊	manual	location	
Molch	莫尔奇聚落	manual	location	
Kebos Swamp	凯博斯沼泽	manual	location	
The Battlefront	战场前线	manual	location	
Forthos Dungeon	福索斯地牢	manual	location	
Iorwerth Dungeon	伊尔沃斯地牢	manual	location	
Jormungand's Prison	耶梦加得的监狱	manual	location	
Darkmeyer	达克迈尔	manual	location	
Meiyerditch Laboratories	迈尔迪奇实验室	manual	location	
Isle of Souls	灵魂岛	manual	location	
Giants' Den	巨人巢穴	manual	location	
Fremennik Isles	费明尼克群岛	manual	location	
Poison Waste Dungeon	毒废地牢	manual	location	
Neypotzli	内波茨利监狱	manual	location	
The Teomat	特奥马特修道院	manual	location	
Sunset Coast	日落海岸	manual	location	
Hunter Guild	猎人公会	manual	location	
Cam Torum Entrance	卡姆托鲁姆城入口	manual	location	
Colossal Wyrm Remains	巨型蛇龙遗骸	manual	location	
Outer Fortis	福蒂斯外围	manual	location	
Fortis Colosseum	福蒂斯竞技场	manual	location	
Ice Mountain	冰山	manual	location	
Corsair Cove	海盗湾	manual	location	
Shayzien Graveyard of Heroes	谢兹恩英雄墓园	manual	location	
Southern coast of Hosidius	霍西迪乌斯城南海岸	manual	location	
Draynor Manor cellar	德雷诺庄园地窖	manual	location	
Wizards' Tower	法师塔	manual	location	
Ardougne Rat Pits	阿多尼鼠坑	manual	location	
The Kendal's cave	肯达尔的洞穴	manual	location	
Ruins of Uzer	乌泽废墟	manual	location	
Crabclaw Caves or Waterbirth Island Dungeon	蟹爪洞穴或水诞岛地牢	manual	location	
Chaos Altar	混沌祭坛	manual	location	
Wyvern Cave on Fossil Island	化石岛飞龙洞穴	manual	location	
Trollweiss Mountain	巨魔山脉	manual	location	
Death Altar	死亡祭坛	manual	location	
Mos Le'Harmless Cave	莫斯勒哈姆斯洞穴	manual	location	
Coronation ceremony during A Kingdom Divided.	分裂的王国任务期间的加冕典礼	manual	location	
Fight with the Giant Roc during My Arm's Big Adventure.	'我的手臂''大冒险期间与巨型巨鸟的战斗	manual	location	
Scorpia's cave beneath the Scorpion Pit.	蝎子坑下方的天蝎洞穴	manual	location	
Beneath Cursed Sands	诅咒沙地之下	manual	location	
Perilous Moons	灾厄之月	manual	location	
PvP Arena	PvP 竞技场	manual	location	
Castle Wars	城堡战争	manual	location	
Ferox Enclave	费罗飞地	manual	location	
Warrior's Guild	战士公会	manual	location	
Champion's Guild 	冠军公会	manual	location	
Monestery	修道院	manual	location	
Ranging Guild	射手公会	manual	location	
Grand Exchange	大交易所	manual	location	
Falador Park	法拉多公园	manual	location	
Dondakan's Rock	东达坎之石	manual	location	
Barbarian Outpost	野蛮人前哨站	manual	location	
Corporeal Beast	实体巨兽	manual	location	
Tears of Guthix	古斯之泪	manual	location	
Wintertodt Camp	寒冬营地	manual	location	
Fishing Guild	钓鱼公会	manual	location	
Mining Guild	采矿公会	manual	location	
Crafting Guild	制作公会	manual	location	
Cooking Guild	厨师公会	manual	location	
Woodcutting Guild	伐木公会	manual	location	
Farming Guild	农业公会	manual	location	
Edgeville	边陲镇	manual	location	
Vision	幻象	manual	music	
at the Wizards' Tower.	法师塔	manual	music	
Volcanic Vikings	火山维京人	manual	music	
on Neitiznot.	奈提兹诺镇	manual	music	
Voodoo Cult	巫毒教	manual	music	
during the Legends' Quest.	在传奇任务期间	manual	music	
Voyage	航行	manual	music	
at Baxtorian Falls.	巴克斯托里安瀑布	manual	music	
Waiting Game, The	等待游戏	manual	music	
The Waiting Game	等待游戏	manual	music	
in the Soul Wars lobby.	灵魂战争大厅	manual	music	
Waking Dream	清醒梦	manual	music	
during the Lunar Diplomacy quest.	月亮外交任务期间	manual	music	
Wally the Hero	英雄沃利	manual	music	
during the Demon Slayer quest.	恶魔杀手任务期间	manual	music	
Wander	漫游	manual	music	
in Draynor Village.	德雷诺村	manual	music	
Warpath	战争之路	manual	music	
during the Clan Wars minigame.	氏族战争小游戏期间	manual	music	
Song of the Elves	精灵之歌	manual	music	
during the Song of the Elves quest.	精灵之歌任务期间	manual	music	
What Happens Below...	下方发生的事…	manual	music	
in the Warrens.	沃伦斯	manual	music	
Warrior	战士	manual	music	
during The Fremennik Trials quest.	费明尼克试炼任务期间	manual	music	
Warriors' Guild	战士公会	manual	music	
at the Warriors' Guild.	战士公会	manual	music	
Doors of Dinh, The	丁之门	manual	music	
The Doors of Dinh	丁之门	manual	music	
in the Northern Tundras.	北部冻原	manual	music	
Waterfall	瀑布	manual	music	
at the Baxtorian Falls.	巴克斯托里安瀑布	manual	music	
Waterlogged	水浸	manual	music	
in Mort Myre Swamp.	莫特迈耶沼泽	manual	music	
Way of the Enchanter	附魔师之路	manual	music	
in the Lunar Isle mine.	月亮岛矿井	manual	music	
Way of the Wyrm	蛇龙之路	manual	music	
in the Karuulm Slayer Dungeon.	卡鲁尔姆杀戮者地牢	manual	music	
Wayward	任性	manual	music	
in the Jiggig dungeon.	吉吉格地牢	manual	music	
We are the Fairies	我们是仙子	manual	music	
during the Fairytale II - Cure a Queen quest.	童话 II-治愈女王任务期间	manual	music	
Lumbering	伐木	manual	music	
in Weiss.	魏斯聚落	manual	music	
Well of Voyage	航行之井	manual	music	
during the Regicide quest.	弑君任务期间	manual	music	
Morytanian Mystery	莫利塔尼亚之谜	manual	music	
during the Darkness of Hallowvale quest.	哈洛维尔的黑暗任务期间	manual	music	
Where Eagles Lair	鹰巢所在	manual	music	
during the Eagles' Peak quest.	鹰峰任务期间	manual	music	
Wild Isle	荒野之岛	manual	music	
in the Wilderness.	荒野	manual	music	
Wild Side	狂野一面	manual	music	
Wilderness	荒野	manual	music	
Revenants	亡灵	manual	music	
in the Revenant Caves.	亡灵洞穴	manual	music	
Wilderness 	荒野	manual	music	
Wildwood	荒野森林	manual	music	
Winter Funfair	冬季游园会	manual	music	
during a Christmas event.	圣诞节活动期间	manual	music	
Ice and Fire	冰与火	manual	music	
while fighting the Wintertodt.	与冬将军战斗时	manual	music	
Witching	巫术	manual	music	
Woe of the Wyvern	飞龙之祸	manual	music	
in the Asgarnian Ice Dungeon.	阿斯加尼亚冰地牢	manual	music	
Wonder	惊奇	manual	music	
Wonderous	奇妙	manual	music	
near the Legends' Guild.	在传奇公会附近	manual	music	
Woodland	林地	manual	music	
at the Iorwerth Camp in Tirannwn.	提拉恩林地的伊尔沃斯营地	manual	music	
Walk in the Woods, A	林中漫步	manual	music	
A Walk in the Woods	林中漫步	manual	music	
in the Kourend Woodland.	库兰德林地	manual	music	
Work, Work, Work	工作 工作 工作	manual	music	
Work\t Work\t Work	工作 工作 工作	manual	music	
during the Tower of Life quest.	生命之塔任务期间	manual	music	
Workshop	工作室	manual	music	
in Falador.	法拉多城	manual	music	
Wrath and Ruin	愤怒与毁灭	manual	music	
in Tolna's Rift.	托尔纳的裂隙	manual	music	
Part Where You Die, The	死亡之章	manual	music	
The Part Where You Die	死亡之章	manual	music	
during the A Kingdom Divided quest.	分裂的王国任务期间	manual	music	
Predator Xarpus	掠食者扎普斯	manual	music	
in the Theatre of Blood.	血腥剧场	manual	music	
Last King of the Yarasa	亚拉沙的最后之王	manual	music	
Xenophobe	仇外者	manual	music	
in the Waterbirth Island Dungeon.	水诞岛地牢	manual	music	
Festive Party, A	节日派对	manual	music	
A Festive Party	节日派对	manual	music	
Yesteryear	往昔	manual	music	
in Lumbridge.	仑桥镇	manual	music	
Spurned Demon, The	被抛弃的恶魔	manual	music	
The Spurned Demon	被抛弃的恶魔	manual	music	
while fighting Zalcano.	与扎尔卡诺战斗时	manual	music	
Zamorak Zoo	扎莫拉克动物园	manual	music	
in the God Wars Dungeon.	神战地牢	manual	music	
Zanik's Theme	扎尼克主题曲	manual	music	
during the Land of the Goblins quest.	哥布林之地任务期间	manual	music	
Zaros Zeitgeist	扎罗斯时代精神	manual	music	
Zealot	狂热者	manual	music	
at the Water Altar.	水祭坛	manual	music	
Zogre Dance	佐格雷食人魔舞	manual	music	
south of Castle Wars.	城堡战争以南	manual	music	
On Thin Ice	如履薄冰	manual	music	
during the Dragon Slayer II quest.	屠龙者 II 任务期间	manual	music	
Zombiism	僵尸主义	manual	music	
on Harmony Island.	和谐岛	manual	music	
Old Ones, The	古老者	manual	music	
The Old Ones	古老者	manual	music	
during The Garden of Death quest.	死亡花园任务期间	manual	music	
Secrets of the North	北方的秘密	manual	music	
during the Secrets of the North quest.	北方的秘密任务期间	manual	music	
In the Shadows	暗影之中	manual	music	
More Than Meets the Eye	不止所见	manual	music	
Vault, The	金库	manual	music	
The Vault	金库	manual	music	
during the Desert Treasure II - The Fallen Empire quest.	沙漠宝藏 II-陨落的帝国任务期间	manual	music	
Fallen Empire, The	陨落的帝国	manual	music	
The Fallen Empire	陨落的帝国	manual	music	
Prison Break	越狱	manual	music	
Scar Tissue	疤痕组织	manual	music	
Worthy Foe, A	值得尊敬的对手	manual	music	
A Worthy Foe	值得尊敬的对手	manual	music	
Colossus of the Deep	深海巨像	manual	music	
Eye See You	看见你了	manual	music	
Blood Rush	血之突袭	manual	music	
Song of the Silent Choir	静默合唱团之歌	manual	music	
Unturned Stones	不留遗憾	manual	music	
Master of Puppets	傀儡大师	manual	music	
His Faithful Servants	他忠诚的仆从	manual	music	
Tick Tock	滴答	manual	music	
Strangled	绞杀	manual	music	
Bolrie's Diary	博尔利的日记	manual	music	
during The Path of Glouphrie quest.	格卢弗里之路任务期间	manual	music	
Healin' Feelin'	治愈之感	manual	music	
Longramble Scramble, The	朗拉姆布尔的争夺	manual	music	
The Longramble Scramble	朗拉姆布尔的争夺	manual	music	
Storeroom Shuffle	储藏室舞步	manual	music	
Terrorbird Tussle	骇鸟之战	manual	music	
Waste Defaced	被玷污的废墟	manual	music	
Dot's Yuletide	多特的圣诞节	manual	music	
Children of the Sun	太阳之子	manual	music	
during the Children of the Sun quest.	太阳之子任务期间	manual	music	
Plots and Plans	阴谋与计划	manual	music	
Burning Sun, The	燃烧之日	manual	music	
The Burning Sun	燃烧之日	manual	music	
Undead Army	亡灵大军	manual	music	
during the Defender of Varrock quest.	维洛克城守护者任务期间	manual	music	
Dream Theatre, The	梦之剧场	manual	music	
The Dream Theatre	梦之剧场	manual	music	
Zombie Invasion	僵尸入侵	manual	music	
City of Sun, The	太阳之城	manual	music	
The City of Sun	太阳之城	manual	music	
in Civitas illa Fortis.	福蒂斯城	manual	music	
Undying Light, The	不灭之光	manual	music	
The Undying Light	不灭之光	manual	music	
in the Avium Savannah.	阿维乌姆草原	manual	music	
Guidance of Ralos, The	拉洛斯的指引	manual	music	
The Guidance of Ralos	拉洛斯的指引	manual	music	
on Ralos' Rise.	拉洛斯高峰	manual	music	
Under the Mountain	山之下	manual	music	
in Cam Torum.	卡姆托鲁姆城	manual	music	
Ready for the Hunt	准备狩猎	manual	music	
in the Hunter Guild.	猎人公会	manual	music	
Are You Not Entertained?	你不觉得有趣吗?	manual	music	
in the Fortis Colosseum.	福蒂斯竞技场	manual	music	
Moons of Ruin, The	毁灭之月	manual	music	
The Moons of Ruin	毁灭之月	manual	music	
during the Perilous Moons quest.	灾厄之月任务期间	manual	music	
Lost to Time	湮没于时光之中	manual	music	
Sunny Side Up	阳光明媚	manual	music	
during the Easter  Holiday Event.	复活节假期活动期间	manual	music	
Animal Magnetism	动物磁力	manual	quest	
Learn how to equip Ava's ranged devices.	学习如何装备艾娃的远程装置	manual	quest	
Another Slice of H.A.M.	反怪物人联的又一诡计	manual	quest	
Learn how to use the Goblin Village teleport spheres.	学习如何使用哥布林村庄传送球	manual	quest	
Ascent of Arceuus, The	阿西乌斯城崛起	manual	quest	
The Ascent of Arceuus	阿西乌斯城崛起	manual	quest	
Gain the Arceuus Memoirs teleport.	获得阿西乌斯回忆录传送	manual	quest	
Alfred Grimhand's Barcrawl	阿尔弗雷德‧格林汉德的酒吧巡游	manual	quest	
MQ: Alfred Grimhand's Barcrawl	迷你任务：阿尔弗雷德‧格林汉德的酒吧巡游	manual	quest	
Embark on a Barbarian rite of passage.	踏上野蛮人成年礼之旅	manual	quest	
Bear Your Soul	承载你的灵魂	manual	quest	
MQ: Bear Your Soul	迷你任务：承载你的灵魂	manual	quest	
Gain the Soul Bearer.	获得灵魂载体	manual	quest	
Below Ice Mountain	冰山之下	manual	quest	
Gain access to the Ruins of Camdozaal.	获得进入坎多扎尔废墟的权限	manual	quest	
Between a Rock...	岩石之间…	manual	quest	
Gain access to the Arzinian Gold Mine.	获得进入阿齐尼安金矿的权限	manual	quest	
Big Chompy Bird Hunting	大型食人鸟狩猎	manual	quest	
Learn how to hunt Chompy Birds.	学习如何狩猎食人鸟	manual	quest	
Biohazard	生化危机	manual	quest	
Unlock the West Ardougne teleport spell.	解锁西阿多尼城传送法术	manual	quest	
Black Knights' Fortress	黑骑士要塞	manual	quest	
Assist the White Knights with their investigation.	协助白骑士进行调查	manual	quest	
Bone Voyage	骨头之旅	manual	quest	
Gain access to Fossil Island.	获得进入化石岛的权限	manual	quest	
Cabin Fever	船舱热病	manual	quest	
Gain access to Mos'LeHarmless.	获得进入莫斯勒哈姆斯岛的权限	manual	quest	
Client of Kourend	库兰德王国的客户	manual	quest	
Gain Kharedst's Memoirs.	获得卡雷德斯的回忆录	manual	quest	
Clock Tower	钟楼	manual	quest	
Help Brother Kojo repair the Clock Tower.	帮助科乔兄弟修理钟楼	manual	quest	
Cold War	冷战	manual	quest	
Gain access to the Penguin Agility Course.	获得进入企鹅敏捷训练场的权限	manual	quest	
Contact!	接触！	manual	quest	
Gain the Keris dagger.	获得克里西斯匕首	manual	quest	
Cook's Assistant	厨师助手	manual	quest	
Help the Lumbridge Castle Cook out of his baking bind.	帮助仑桥镇城堡厨师摆脱烘焙困境	manual	quest	
Corsair Curse, The	海盗诅咒	manual	quest	
The Corsair Curse	海盗诅咒	manual	quest	
Gain access to the Corsair Cove Bank.	获得进入海盗湾银行的权限	manual	quest	
Creature of Fenkenstrain	芬肯斯特恩的怪物	manual	quest	
Gain a Ring of Charos.	获得查罗斯戒指	manual	quest	
Curse of the Empty Lord	空无之主的诅咒	manual	quest	
MQ: Curse of the Empty Lord	迷你任务：空虚领主的诅咒	manual	quest	
Gain a set of Ghostly Robes.	获得一套幽灵长袍	manual	quest	
Daddy's Home	父亲的房子	manual	quest	
MQ: Daddy's Home	迷你任务：父亲的房子	manual	quest	
Learn about the Construction skill.	学习建筑技能	manual	quest	
Darkness of Hallowvale	哈洛维尔的黑暗	manual	quest	
Learn the reverse Temple Trekking routes.	学习镜像神殿徒步路线	manual	quest	
Death Plateau	死亡高原	manual	quest	
Gain a set of Climbing Boots.	获得一套登山靴	manual	quest	
Death to the Dorgeshuun	多格舒恩之死	manual	quest	
Gain access to the H.A.M Store Room.	获得进入反怪物人联储藏室的权限	manual	quest	
Demon Slayer	恶魔杀手	manual	quest	
Face your destiny in Varrock.	在维洛克城面对你的命运	manual	quest	
Depths of Despair, The	绝望深渊	manual	quest	
The Depths of Despair	绝望深渊	manual	quest	
Gain the Hosidius Memoirs teleport.	获得霍西迪乌斯回忆录传送	manual	quest	
Desert Treasure I	沙漠宝藏 I	manual	quest	
Learn how to use the Ancient Magicks.	学习如何使用古代魔法	manual	quest	
Devious Minds	诡计多端	manual	quest	
Dig Site, The	考古挖掘场	manual	quest	
The Dig Site	考古挖掘场	manual	quest	
Learn how to clean specimens in Varrock Museum.	学习如何在维洛克博物馆清理标本	manual	quest	
Doric's Quest	多里克的任务	manual	quest	
Gain early game Mining XP.	获得游戏早期的采矿经验值	manual	quest	
Dragon Slayer I	屠龙者 I	manual	quest	
Learn how to equip Rune and Dragon Platebodies.	学习如何装备符文和龙金胸甲	manual	quest	
Dragon Slayer II	屠龙者 II	manual	quest	
Gain great XP and access to the Myth's Guild.	获得大量经验值并进入神话公会	manual	quest	
Dream Mentor	梦境导师	manual	quest	
Learn how to cast more Lunar spells.	学习如何施放更多月魔法	manual	quest	
Druidic Ritual	德鲁伊仪式	manual	quest	
Unlock the Herblore skill.	解锁草药学技能	manual	quest	
Dwarf Cannon	矮人大炮	manual	quest	
Learn how to use a Dwarf Multicannons.	学习如何使用矮人大炮	manual	quest	
Eadgar's Ruse	埃德加的诡计	manual	quest	
Learn how to grow and steal Goutweed.	学习如何种植和窃取痛风草	manual	quest	
Eagles' Peak	鹰峰	manual	quest	
Gain access to the Eagle transportation and Box Traps.	获得使用老鹰运输系统和箱式陷阱的权限	manual	quest	
Elemental Workshop I	元素工坊 I	manual	quest	
Rediscover the knowledge hidden in Seers' Village.	重新发现隐藏在先知村的知识	manual	quest	
Elemental Workshop II	元素工坊 II	manual	quest	
Learn how to equip Mind equipment.	学习如何装备心灵装备	manual	quest	
Enakhra's Lament	伊纳克拉的哀歌	manual	quest	
Gain a Camulet.	获得骆驼护符	manual	quest	
Enchanted Key, The	魔法钥匙	manual	quest	
The Enchanted Key	魔法钥匙	manual	quest	
MQ: The Enchanted Key	迷你任务：魔法钥匙	manual	quest	
Hunt for hidden treasure using the Enchanted Key.	使用魔法钥匙寻找隐藏的宝藏	manual	quest	
Enlightened Journey	启蒙之旅	manual	quest	
Gain access to the Balloon transportation.	获得使用气球运输系统的权限	manual	quest	
Enter the Abyss	进入深渊	manual	quest	
MQ: Enter the Abyss	迷你任务：进入深渊	manual	quest	
Gain access to the Abyss.	获得进入深渊的权限	manual	quest	
